gene,l1norm,genelen,sampid1,sampid2
3-PA,2.5115915815281786,2198,4-10,6-22
4-HA,13.729826247130688,1734,4-10,6-22
5-NP,4.142468335861471,1507,4-10,6-22
6-NA,6.164041873693295,1437,4-10,6-22
7-M,0.3601942970618053,1002,4-10,6-22
8-NS,0.0,835,4-10,6-22
1-PB2,4.372351004455312,2301,4-10,2-23
2-PB1,4.437127156574335,2307,4-10,2-23
3-PA,0.43542890942956114,2198,4-10,2-23
4-HA,4.494835919868679,1737,4-10,2-23
5-NP,2.228302453668929,1507,4-10,2-23
6-NA,4.078740157480315,1437,4-10,2-23
7-M,0.6098569744026877,1003,4-10,2-23
8-NS,2.0,864,4-10,2-23
1-PB2,0.7457949032713718,2301,4-10,4-11
2-PB1,0.894417929334489,2307,4-10,4-11
3-PA,0.6683706104704596,2198,4-10,4-11
4-HA,0.5562806063808065,1737,4-10,4-11
5-NP,0.1813474636869101,1507,4-10,4-11
6-NA,0.42325923176509195,1437,4-10,4-11
7-M,0.5043515424195213,1002,4-10,4-11
8-NS,0.04194470924690183,864,4-10,4-11
1-PB2,12.667530361667032,2301,4-10,3-25
2-PB1,14.087719298245617,2307,4-10,3-25
3-PA,4.2434787704401495,2198,4-10,3-25
4-HA,14.3863281295155,1736,4-10,3-25
5-NP,10.064676616915422,1507,4-10,3-25
6-NA,4.048387096774194,1437,4-10,3-25
7-M,2.5879951497139926,1003,4-10,3-25
8-NS,10.0,864,4-10,3-25
1-PB2,4.452281520502435,2301,4-10,4-19
2-PB1,4.608553126464324,2307,4-10,4-19
3-PA,4.922438851281736,2198,4-10,4-19
4-HA,12.453709203114142,1737,4-10,4-19
5-NP,4.547434839089256,1507,4-10,4-19
6-NA,6.639328558711548,1437,4-10,4-19
7-M,0.347720111121817,1002,4-10,4-19
8-NS,0.20437169007136397,864,4-10,4-19
1-PB2,5.3070870539010295,2301,4-10,2-25
2-PB1,4.327967762044706,2307,4-10,2-25
3-PA,0.80810001197236,2198,4-10,2-25
4-HA,6.126673318235706,1734,4-10,2-25
5-NP,3.48460543931808,1507,4-10,2-25
6-NA,4.291025641025641,1437,4-10,2-25
7-M,0.6866067675783918,1003,4-10,2-25
8-NS,2.0,864,4-10,2-25
1-PB2,4.759499457814688,2301,4-10,2-32
2-PB1,5.159891324076948,2307,4-10,2-32
3-PA,2.298524641999783,2198,4-10,2-32
4-HA,6.836441988957983,1731,4-10,2-32
5-NP,0.0646766169154229,1507,4-10,2-32
6-NA,2.0,1437,4-10,2-32
7-M,0.49122095616560557,1003,4-10,2-32
8-NS,0.4807752853207399,864,4-10,2-32
1-PB2,5.969758415142019,2301,4-10,6-24
2-PB1,4.487882172657398,2306,4-10,6-24
3-PA,2.540763906183363,2182,4-10,6-24
4-HA,13.444552795797158,1731,4-10,6-24
5-NP,5.126401905206955,1400,4-10,6-24
6-NA,7.27249794397078,1437,4-10,6-24
7-M,0.49122095616560557,1003,4-10,6-24
8-NS,1.359825246773779,864,4-10,6-24
1-PB2,5.494848073880887,2301,4-10,2-20
2-PB1,4.249302685656387,2307,4-10,2-20
3-PA,0.5869013590094596,2198,4-10,2-20
4-HA,8.492003206983409,1737,4-10,2-20
5-NP,2.6996934120533287,1507,4-10,2-20
6-NA,6.0,1437,4-10,2-20
7-M,2.491220956165606,1003,4-10,2-20
8-NS,0.19178082191780826,864,4-10,2-20
1-PB2,4.897132557751742,2301,4-10,2-21
2-PB1,4.23812865497076,2307,4-10,2-21
3-PA,2.3900166126301663,2196,4-10,2-21
4-HA,10.827264404336958,1737,4-10,2-21
5-NP,2.4358677526494947,1507,4-10,2-21
6-NA,6.342151318195886,1437,4-10,2-21
7-M,0.6509302253980589,1002,4-10,2-21
8-NS,2.3553457410677896,864,4-10,2-21
1-PB2,0.653118042538892,2301,4-10,3-22
2-PB1,5.1385400889068915,2307,4-10,3-22
3-PA,2.3875465670503195,2198,4-10,3-22
4-HA,8.465606628794003,1681,4-10,3-22
5-NP,2.2964823996121013,1507,4-10,3-22
6-NA,4.22056027379896,1437,4-10,3-22
7-M,0.5623672012248941,1003,4-10,3-22
8-NS,0.27683396398335675,864,4-10,3-22
1-PB2,12.544686410048351,2301,4-10,3-26
2-PB1,14.269772181680255,2307,4-10,3-26
3-PA,4.5260868231774225,2198,4-10,3-26
4-HA,14.201933875866331,1736,4-10,3-26
5-NP,10.133153594483309,1507,4-10,3-26
6-NA,4.17063492063492,1437,4-10,3-26
7-M,2.4912209561656056,1003,4-10,3-26
8-NS,10.0,864,4-10,3-26
1-PB2,4.321809488209825,2301,4-10,2-18
