sampid,gene,pi
4-19,3-PA,0.0003002638284875343
6-25,2-PB1,8.520526543247112e-05
3-10,4-HA,0.000247382225717532
2-20,5-NP,0.00039671085087463213
6-23,2-PB1,0.000124476536776294
4-11,3-PA,0.00018542773375115692
6-21,3-PA,0.00012360131883579396
3-6,1-PB2,4.911610696687986e-05
4-1,4-HA,0.00011417748051411948
4-13,4-HA,0.00016775903685611204
2-25,2-PB1,9.988445386024559e-05
6-24,4-HA,0.0006286112329308965
2-23,2-PB1,0.00014753399728861604
2-28,5-NP,0.00018702930471984323
3-30,3-PA,6.490515691754134e-05
6-21,5-NP,0.0003582377179172213
2-19,4-HA,0.00028954776337385086
3-12,5-NP,0.0007062222060382205
3-26,1-PB2,9.368240437138245e-05
3-25,4-HA,0.0001971350896305814
2-31,2-PB1,0.00012502992264452775
4-19,5-NP,0.000304181565091303
3-12,2-PB1,0.0001606164309045932
3-9,5-NP,0.0002195594057921105
2-20,2-PB1,6.872817254712262e-05
6-23,5-NP,0.0001891678229689312
3-10,2-PB1,0.0002885210779749172
6-24,3-PA,0.0001262694238218871
6-18,1-PB2,0.0001820151817156324
6-31,3-PA,0.00012590243625353685
2-21,3-PA,6.628092044733814e-05
3-26,2-PB1,7.784685791502041e-05
2-24,5-NP,0.00016292754633219576
6-22,6-NA,0.00019028095228186263
3-20,4-HA,0.00029922029126929265
3-27,6-NA,0.000126695307343116
6-32,5-NP,0.00024453447295514827
3-7,6-NA,0.000464537362208653
4-7,4-HA,0.00011339214827444557
3-13,1-PB2,0.00013457293521956828
2-29,8-NS,0.00046867974127494724
3-27,5-NP,0.0002763002512104806
3-24,5-NP,0.00018232172027608844
6-24,2-PB1,0.00016956757515585938
3-9,4-HA,0.0002039817697964961
2-25,7-M,0.0001926792427834788
2-23,7-M,0.00011739341638036783
3-22,5-NP,0.00014927250110332896
4-11,5-NP,7.573949680061338e-05
2-31,3-PA,9.363043954382417e-05
3-13,2-PB1,0.00010079526848117604
2-21,1-PB2,0.0002326777466905064
4-22,6-NA,9.981356024397045e-05
2-23,3-PA,8.626309301827533e-05
3-9,6-NA,0.00011655912525290467
2-32,4-HA,0.000385476129841022
2-24,3-PA,0.000187846271853453
3-26,3-PA,0.0001249885973180558
3-15,6-NA,0.0004412790092496245
6-26,4-HA,0.0006597938197062711
2-32,8-NS,0.00047473417501032756
2-28,4-HA,0.0006133677572811127
2-17,3-PA,0.00034422700221423586
2-26,7-M,0.00041899513089764507
2-26,8-NS,0.00020724851793144303
6-20,4-HA,0.0004110767650423843
3-6,2-PB1,0.00017263577998678708
4-5,2-PB1,0.00023970063270970914
