sampid,gene,pi
H3N2_1686_T3_T_S508_N702_RP,8-NS,0.00039294504866701894
H3N2_1868_T3_N_S507_N712_R,5-NP,0.0002624192618889283
H3N2_1226_T3_N_S503_N703_RP,4-HA,0.00026517745279000364
H3N2_3611_T1_N_S503_N707_R,7-M,0.0006435512094703031
H3N2_1867_T2_N_S507_N707_R,2-PB1,0.000308214225916326
H3N2_1413_T0_N_S504_N704_R,1-PB2,0.00011670694363868176
H3N2_1828_T1_N_S503_N709_R,3-PA,0.00018567335422670566
H3N2_1225_T3_N_S502_N709_RP,7-M,0.00017152290268374642
H3N2_1224_T1_T_S502_N703_R,8-NS,0.0002939477923638365
H3N2_1225_T7_N_S502_N711_RP,4-HA,0.0006492011158393798
H3N2_1224_T1_T_S502_N703_R,2-PB1,0.0004172780775463499
H3N2_1413_T7_T_S504_N710_RP,2-PB1,9.289072062533492e-05
H3N2_1847_T2_N_S505_N708_RP,3-PA,0.0001685812941381229
H3N2_1221_T1_N_S517_N712_R,1-PB2,0.0002307666290051058
H3N2_1686_T1_T_S508_N701_RP,5-NP,0.00035878263786673543
H3N2_1707_T3_T_S517_N710_R,3-PA,9.568188347149985e-05
H3N2_3615_T7_N_S504_N710_R,4-HA,0.00011250671404602098
H3N2_1878_T3_N_S517_N709_R,3-PA,0.0008253370925269637
H3N2_1843_T3_N_S505_N701_R,3-PA,0.00018618459560715945
H3N2_1868_T2_N_S507_N711_R,1-PB2,8.042894819898994e-05
H3N2_1813_T1_T_S502_N703_R,2-PB1,8.227116997813529e-05
H3N2_1701_T3_T_S517_N707_R,8-NS,0.0003933349894845273
H3N2_1840_T7_T_S504_N703_RP,2-PB1,0.0007998004526503955
H3N2_1227_T2_T_S503_N706_RP,5-NP,0.0002714291249763943
H3N2_1813_T0_T_S502_N702_R,2-PB1,0.0001743583823233094
H3N2_3609_T5_N_S503_N702_R,1-PB2,6.892405632774483e-05
H3N2_3611_T3_N_S503_N708_R,5-NP,0.0003572719143517068
H3N2_1878_T3_N_S517_N709_R,1-PB2,0.0014694224896267126
H3N2_1815_T3_N_S503_N703_R,6-NA,0.0002188206283775792
H3N2_1815_T2_T_S503_N702_R,6-NA,0.00010162537239556197
H3N2_3612_T4_N_S504_N702_R,3-PA,0.00036496552957621066
H3N2_1231_T2_T_S503_N709_R,8-NS,0.00041189495887031317
H3N2_1869_T2_N_S508_N703_R,4-HA,9.45553830757759e-05
H3N2_1840_T7_T_S504_N703_RP,3-PA,0.00022993659480829656
H3N2_1813_T3_N_S502_N704_R,3-PA,4.618869420768076e-05
H3N2_1205_T3_T_S517_N704_R,7-M,0.00024748218438577036
H3N2_1847_T2_N_S505_N708_RP,2-PB1,0.00025240985137731017
H3N2_1668_T5_T_S505_N712_R,5-NP,0.00017841411772360937
H3N2_1224_T3_T_S502_N705_RP,1-PB2,8.851665513164692e-05
H3N2_1876_T2_N_S517_N704_R,3-PA,0.00015964906680605628
H3N2_1672_T2_T_S506_N711_R,3-PA,4.4462741960999485e-05
H3N2_1682_T4_N_S507_N708_R,2-PB1,0.00010771228926649968
H3N2_1825_T1_T_S503_N705_R,1-PB2,8.130432747543865e-05
H3N2_1671_T2_T_S506_N709_R,3-PA,0.00036725821354500755
H3N2_1682_T1_N_S507_N705_R,2-PB1,0.00012776017439541633
H3N2_1673_T2_T_S507_N703_R,7-M,0.002396504235721985
H3N2_1226_T3_N_S503_N703_RP,1-PB2,0.00014573112521020675
H3N2_1848_T1_N_S505_N710_R,8-NS,0.000380894709363863
H3N2_3612_T2_N_S503_N712_R,1-PB2,0.00010511312461085552
H3N2_1813_T1_T_S502_N703_R,3-PA,0.00012144702416022909
H3N2_1231_T0_N_S503_N707_R,3-PA,0.00013414072860869666
H3N2_1874_T2_N_S508_N707_R,8-NS,0.00035766299885656405
H3N2_3615_T1_N_S504_N708_R,3-PA,0.00013381674388489895
H3N2_1866_T0_N_S506_N711_R,4-HA,5.283663499191931e-05
